Mindanao Ranking
Rank,Entry / District,Song Title,Current Views,Published,Matched Video Title,YouTube URL,Fetched At
1,Zamboanga City,Laan Sa Akin,12000,3 weeks ago,Laan Sa Akin | Zamboanga City | INCMV AWARDS 2026,https://www.youtube.com/watch?v=b6HCZOez12w,"Fetched 05/24/2026, 3:18:50 PM GMT+8"
2,Zamboanga Sibugay,"Ama, Kami Ay Sa Iyo Pa Rin",9000,3 weeks ago,"Ama, Kami Ay Sa Iyo Pa Rin | Zamboanga Sibugay | INCMV AWARDS 2026",https://www.youtube.com/watch?v=6efoFLYt5yU,"Fetched 05/24/2026, 3:18:50 PM GMT+8"
3,Lanao,Anuman Po Ang Mangyari,6000,3 weeks ago,Anuman Po Ang Mangyari | Lanao | INCMV AWARDS 2026,https://www.youtube.com/watch?v=FYLkNK1OqMQ,"Fetched 05/24/2026, 3:18:50 PM GMT+8"
4,Zamboanga del Norte,Maglilingkod Pa Rin Ako Sa Diyos,4400,3 weeks ago,Maglilingkod Pa Rin Ako Sa Diyos | Zamboanga del Norte | INCMV AWARDS 2026,https://www.youtube.com/watch?v=hFLIlZXdjW4,"Fetched 05/24/2026, 3:18:50 PM GMT+8"
5,Agusan del Sur,Ako'y Ihatid Sa Bayang Banal,3800,3 weeks ago,Ako'y Ihatid Sa Bayang Banal | Agusan del Sur | INCMV AWARDS 2026,https://www.youtube.com/watch?v=sZbkj8hwae0,"Fetched 05/24/2026, 3:18:50 PM GMT+8"
6,"Cagayan De Oro City, Misamis Oriental",Dili Angay Mabalaka (No Need To Worry),3400,3 weeks ago,"Dili Angay Mabalaka (No Need To Worry) | Cagayan De Oro City, Misamis Oriental | INCMV AWARDS 2026",https://www.youtube.com/watch?v=eWZPjfEH388,"Fetched 05/24/2026, 3:18:50 PM GMT+8"
7,Agusan del Norte,"Lahat, Posible Sa Ama",3000,3 weeks ago,"Lahat, Posible Sa Ama | Agusan del Norte | INCMV AWARDS 2026",https://www.youtube.com/watch?v=FXsLpyV5Lvo,"Fetched 05/24/2026, 3:18:50 PM GMT+8"
8,"Pagadian City, Zamboanga Del Sur",Anuman Po Ang Mangyari,3000,3 weeks ago,"Anuman Po Ang Mangyari | Pagadian City, Zamboanga Del Sur | INCMV AWARDS 2026",https://www.youtube.com/watch?v=0hku4LqPAJs,"Fetched 05/24/2026, 3:18:50 PM GMT+8"
9,Surigao Del Norte,"Ama, Kami Ay Sa Iyo Pa Rin",2700,3 weeks ago,"Ama, Kami Ay Sa Iyo Pa Rin | Surigao Del Norte | INCMV AWARDS 2026",https://www.youtube.com/watch?v=2uZVcAvOCNo,"Fetched 05/24/2026, 3:18:50 PM GMT+8"
10,"Tandag City, Surigao Del Sur",Brave,2300,3 weeks ago,"Brave | Tandag City, Surigao Del Sur | INCMV AWADS 2026",https://www.youtube.com/watch?v=7xsoRzhtGuA,"Fetched 05/24/2026, 3:18:50 PM GMT+8"
11,Misamis Occidental,Maglilingkod Pa Rin Ako Sa Diyos,1900,3 weeks ago,Maglilingkod Pa Rin Ako Sa Diyos | Misamis Occidental | INCMV AWARDS,https://www.youtube.com/watch?v=9hJaaNK5Vpg,"Fetched 05/24/2026, 3:18:50 PM GMT+8"
12,Cotabato North,Ngayon Na,1500,3 weeks ago,Ngayon Na | Cotabato North | INCMV AWARDS 2026,https://www.youtube.com/watch?v=LAJbQ7A5ZZE,"Fetched 05/24/2026, 3:18:50 PM GMT+8"
13,"Don Carlos, Bukidnon",Masaya,1500,3 weeks ago,"Masaya | Don Carlos, Bukidnon | INCMV AWARDS 2026",https://www.youtube.com/watch?v=_apmEMNj6uQ,"Fetched 05/24/2026, 3:18:50 PM GMT+8"
14,Davao Occidental,Stay Strong,1400,3 weeks ago,Stay Strong | Davao Occidental | INCMV AWARDS 2026,https://www.youtube.com/watch?v=Ub_EdooR4P8,"Fetched 05/24/2026, 3:18:50 PM GMT+8"
15,"Valencia City, Bukidnon",Masaya,1400,3 weeks ago,"Masaya | Valencia City, Bukidnon | INCMV AWARDS 2026",https://www.youtube.com/watch?v=87vnLXXW0u8,"Fetched 05/24/2026, 3:18:50 PM GMT+8"
16,Davao Oriental,"Lahat, Posible Sa Ama",1300,3 weeks ago,"Lahat, Posible Sa Ama | Davao Oriental | INCMV AWARDS 2026",https://www.youtube.com/watch?v=ZGEDxFEiv5E,"Fetched 05/24/2026, 3:18:50 PM GMT+8"
17,Davao Del Sur,Maglilingkod Pa Rin Ako sa Diyos,1200,3 weeks ago,Maglilingkod Pa Rin Ako sa Diyos | Davao Del Sur | INCMV AWARDS 2026,https://www.youtube.com/watch?v=AAcbWXSChU8,"Fetched 05/24/2026, 3:18:50 PM GMT+8"
18,Sultan Kudarat,Maglilingkod Pa Rin Ako Sa Diyos,1200,3 weeks ago,Maglilingkod Pa Rin Ako Sa Diyos | Sultan Kudarat | INCMV AWARDS 2026,https://www.youtube.com/watch?v=EUpHN0FnpP8,"Fetched 05/24/2026, 3:18:50 PM GMT+8"
19,Davao Del Norte,Takbuhin,885,2 weeks ago,Takbuhin | Davao Del Norte | INCMV AWARDS 2026,https://www.youtube.com/watch?v=cmFXZ3uEVO4,"Fetched 05/24/2026, 3:18:50 PM GMT+8"
20,"Koronadal City, South Cotabato",Anuman Po Ang Mangyari,613,3 weeks ago,"Anuman Po Ang Mangyari | Koronadal City, South Cotabato | INCMV AWARDS 2026",https://www.youtube.com/watch?v=XZZukPcJJKo,"Fetched 05/24/2026, 3:18:50 PM GMT+8"
